Name,Hex (24 bit),Red ,Green,Blue,Hue (degrees),HSL.S (%),"HSL.L (%), HSV.S (%), HSV.V (%)",,
Absolute zero,#0048BA,0,72,186,217,100,37,,
Blue,#B0BF1A,176,191,26,65,76,43,,
Blue,#7CB9E8,124,185,232,206,70,70,,
Blue,#C9FFE5,201,255,229,151,100,89,,
Purple,#B284BE,178,132,190,288,31,63,,
Blue,#5D8AA8,93,138,168,204,30,51,,
Blue,#00308F,0,48,143,220,100,28,,
Blue,#72A0C1,114,160,193,205,39,60,,
Red,#AF002A,175,0,42,346,100,34,,
White,#F2F0E6,242,240,230,346,32,93,,
Blue,#F0F8FF,240,248,255,208,100,97,,
Green,#84DE02,132,222,2,85,98,44,,
Red,#E32636,227,38,54,355,77,52,,
Orange,#C46210,196,98,16,27,85,42,,
Brown,#EFDECD,239,222,205,30,52,87,,
Red,#E52B50,229,43,80,348,78,53,,
Purple,#9F2B68,159,43,104,328,57,40,,
Pink,#F19CBB,241,156,187,338,75,78,,
Red,#AB274F,171,39,79,342,63,41,,
Red,#D3212D,211,33,45,356,73,48,,
Green,#3B7A57,59,122,87,147,35,35,,
Green,#00C4B0,0,196,176,356,100,38,,
Yellow,#FFBF00,255,191,0,45,100,50,,
Orange,#FF7E00,255,126,0,30,100,50,,
Red,#FF033E,255,3,62,346,100,51,,
Purple,#9966CC,153,102,204,270,50,60,,
Green,#A4C639,164,198,57,74,55,50,,
White,#F2F3F4,242,243,244,210,8,95,,
Brown,#CD9575,205,149,117,22,47,63,,
Brown,#665D1E,102,93,30,53,55,26,,
Purple,#915C83,145,92,131,316,22,46,,
Red,#841B2D,132,27,45,350,66,31,,
White,#FAEBD7,250,235,215,34,78,91,,
Green,#008000,0,128,0,120,100,25,,
Green,#8DB600,141,182,0,74,100,36,,
Orange,#FBCEB1,251,206,177,24,90,84,,
Blue,#00FFFF,0,255,255,180,100,50,,
Green,#7FFFD4,127,255,212,160,100,75,,
Green,#D0FF14,208,255,20,72,100,54,,
Green,#4B5320,75,83,32,69,44,23,,
Gray,#3B444B,59,68,75,206,12,26,,
Green,#8F9779,143,151,121,76,13,53,,
Yellow,#E9D66B,233,214,107,51,74,67,,
Gray,#B2BEB5,178,190,181,135,8,72,,
Green,#87A96B,135,169,107,93,26,54,,
Orange,#FF9966,255,153,102,20,100,70,,
Red,#A52A2A,165,42,42,0,59,41,,
Yellow,#FDEE00,253,238,0,56,100,50,,
Gray,#6E7F80,110,127,128,183,8,47,,
Green,#568203,86,130,3,81,95,26,,
Red,#FF2052,255,32,82,81,95,56,,
Yellow,#C39953,195,153,83,38,48,55,,
Blue,#007FFF,0,127,255,210,100,50,,
Blue,#F0FFFF,240,255,255,180,100,97,,
Blue,#F0FFFF,240,255,255,180,100,97,,
Blue,#DBE9F4,219,233,244,206,53,91,,
Blue,#89CFF0,137,207,240,199,77,74,,
Blue,#A1CAF1,161,202,241,209,74,79,,
Pink,#F4C2C2,244,194,194,0,69,86,,
White,#FEFEFA,254,254,250,60,67,99,,
Pink,#FF91AF,255,145,175,344,100,78,,
Blue,#21ABCD,33,171,205,192,72,47,,
Yellow,#FAE7B5,250,231,181,43,87,85,,
Yellow,#FFE135,255,225,53,51,100,60,,
Green,#006A4E,0,106,78,164,100,21,,
Pink,#E0218A,224,33,138,327,75,50,,
Red,#7C0A02,124,10,2,4,97,25,,
Blue,#1DACD6,29,172,214,194,76,48,,
Gray,#848482,132,132,130,60,1,51,,
Pink,#98777B,152,119,123,353,14,53,,
Blue,#BCD4E6,188,212,230,206,46,82,,
Brown,#9F8170,159,129,112,22,20,53,,
Pink,#FA6E79,250,110,121,355,93,71,,
White,#F5F5DC,245,245,220,60,56,91,,
Blue,#2E5894,46,88,148,215,53,38,,
Red,#9C2542,156,37,66,345,62,38,,
Orange,#E88E5A,232,142,90,22,76,63,,
Orange,#FFE4C4,255,228,196,33,100,88,,
Brown,#3D2B1F,61,43,31,24,33,18,,
Brown,#967117,150,113,23,43,73,34,,
Green,#CAE00D,202,224,13,66,89,46,,
Green,#BFFF00,191,255,0,75,100,50,,
Red,#FE6F5E,254,111,94,6,99,68,,
Red,#BF4F51,191,79,81,359,47,53,,
Black,#000000,0,0,0,0,0,0,,
Brown,#3D0C02,61,12,2,10,94,12,,
Gray,#54626F,84,98,111,209,14,38,,
Green,#253529,37,53,41,135,18,18,,
Gray,#3B3C36,59,60,54,70,5,22,,
Gray,#BFAFB2,191,175,178,349,11,72,,
White,#FFEBCD,255,235,205,36,100,90,,
Brown,#A57164,165,113,100,12,27,52,,
Blue,#318CE7,49,140,231,210,79,55,,
Blue,#ACE5EE,172,229,238,188,66,80,,
Yellow,#FAF0BE,250,240,190,50,86,86,,
Blue,#0000FF,0,0,255,240,100,50,,
Blue,#1F75FE,31,117,254,217,99,56,,
Blue,#0093AF,0,147,175,190,100,34,,
Blue,#0087BD,0,135,189,197,100,37,,
Blue,#0018A8,0,24,168,231,100,33,,
Blue,#333399,51,51,153,240,50,40,,
Blue,#0247FE,2,71,254,224,99,50,,
Blue,#A2A2D0,162,162,208,240,33,73,,
Blue,#00B9FB,0,185,251,196,100,49,,
Blue,#6699CC,102,153,204,210,50,60,,
Blue,#0D98BA,13,152,186,192,87,39,,
Blue,#5DADEC,93,173,236,206,79,65,,
Blue,#ACE5EE,172,229,238,188,66,80,,
Purple,#553592,85,53,146,261,47,39,,
Blue,#126180,18,97,128,197,75,29,,
Purple,#8A2BE2,138,43,226,271,76,53,,
Blue,#5072A7,80,114,167,217,35,48,,
Blue,#4F86F7,79,134,247,220,91,64,,
Blue,#1C1CF0,28,28,240,240,88,53,,
Pink,#DE5D83,222,93,131,342,66,62,,
Brown,#79443B,121,68,59,9,34,35,,
Blue,#0095B6,0,149,182,191,100,36,,
White,#E3DAC9,227,218,201,39,32,84,,
Green,#DDE26A,221,226,106,63,67,65,,
Red,#CC0000,204,0,0,0,100,40,,
Green,#006A4E,0,106,78,164,100,21,,
Purple,#873260,135,50,96,328,46,36,,
Blue,#0070FF,0,112,255,214,100,50,,
Yellow,#B5A642,181,166,66,52,47,48,,
Red,#CB4154,203,65,84,352,57,53,,
Blue,#1DACD6,29,172,214,194,76,48,,
Green,#66FF00,102,255,0,96,100,50,,
Purple,#BF94E4,191,148,228,272,60,74,,
Purple,#D891EF,216,145,239,285,75,75,,
Red,#C32148,195,33,72,346,71,45,,
Blue,#1974D2,25,116,210,210,79,46,,
Pink,#FF007F,255,0,127,330,100,50,,
Blue,#08E8DE,8,232,222,177,93,47,,
Purple,#D19FE8,209,159,232,281,61,77,,
Yellow,#FFAA1D,255,170,29,37,100,56,,
Blue,#3399FF,51,153,255,210,100,60,,
Purple,#F4BBFF,244,187,255,290,100,87,,
Pink,#FF55A3,255,85,163,332,100,67,,
Pink,#FB607F,251,96,127,348,95,68,,
Green,#004225,0,66,37,154,100,13,,
Brown,#CD7F32,205,127,50,30,61,50,,
Yellow,#737000,115,112,0,58,100,23,,
Brown,#964B00,150,75,0,30,100,29,,
Red,#A52A2A,165,42,42,0,59,41,,
Brown,#6B4423,107,68,35,28,51,28,,
Brown,#AF6E4D,175,110,77,20,39,49,,
Brown,#cc9966,204,153,102,30,50,60,,
Green,#1B4D3E,27,77,62,162,48,20,,
Pink,#FFC1CC,255,193,204,349,100,88,,
Blue,#E7FEFF,231,254,255,183,100,95,,
Green,#7BB661,123,182,97,102,37,55,,
Yellow,#F0DC82,240,220,130,49,79,73,,
Red,#480607,72,6,7,359,85,15,,
Red,#800020,128,0,32,345,100,25,,
Brown,#DEB887,222,184,135,34,57,70,,
Brown,#A17A74,161,122,116,8,19,54,,
Orange,#CC5500,204,85,0,25,100,40,,
Orange,#E97451,233,116,81,14,78,62,,
Brown,#8A3324,138,51,36,9,59,34,,
Purple,#BD33A4,189,51,164,311,58,47,,
Purple,#702963,112,41,99,311,46,30,,
Gray,#536872,83,104,114,199,16,39,,
Blue,#5F9EA0,95,158,160,182,25,50,,
Gray,#91A3B0,145,163,176,205,16,63,,
Green,#006B3C,0,107,60,154,100,21,,
Orange,#ED872D,237,135,45,28,84,55,,
Red,#E30022,227,0,34,351,100,45,,
Yellow,#FFF600,255,246,0,58,100,50,,
Brown,#A67B5B,166,123,91,26,30,50,,
Brown,#4B3621,75,54,33,30,39,21,,
Green,#1E4D2B,30,77,43,137,44,21,,
Green,#A3C1AD,163,193,173,140,19,70,,
Brown,#C19A6B,193,154,107,33,41,59,,
Pink,#EFBBCC,239,187,204,340,62,84,,
Green,#78866B,120,134,107,91,11,47,,
Yellow,#FFFF99,255,255,153,60,100,80,,
Yellow,#FFEF00,255,239,0,56,100,50,,
Red,#FF0800,255,8,0,2,100,50,,
Pink,#E4717A,228,113,122,355,68,67,,
Blue,#00BFFF,0,191,255,195,100,50,,
Brown,#592720,89,39,32,7,47,24,,
Red,#C41E3A,196,30,58,350,73,44,,
Green,#00CC99,0,204,153,165,100,40,,
Red,#960018,150,0,24,350,100,29,,
Red,#D70040,215,0,64,342,100,42,,
Red,#EB4C42,235,76,66,4,81,59,,
Red,#FF0038,255,0,56,347,100,50,,
Pink,#FFA6C9,255,166,201,336,100,83,,
Red,#B31B1B,179,27,27,0,74,40,,
Blue,#56A0D3,86,160,211,204,59,58,,
Orange,#ED9121,237,145,33,33,85,53,,
Green,#00563F,0,86,63,164,100,17,,
Blue,#062A78,6,42,120,221,90,25,,
Red,#703642,112,54,66,348,35,33,,
Red,#C95A49,201,90,73,8,54,54,,
Blue,#92A1CF,146,161,207,225,39,69,,
Green,#ACE1AF,172,225,175,123,47,78,,
Blue,#007BA7,0,123,167,196,100,33,,
Green,#2F847C,47,132,124,174,47,35,,
Blue,#B2FFFF,178,255,255,180,100,85,,
Blue,#4997D0,73,151,208,205,59,55,,
Red,#DE3163,222,49,99,343,72,53,,
Pink,#EC3B83,236,59,131,336,82,58,,
Blue,#007BA7,0,123,167,196,100,33,,
Blue,#2A52BE,42,82,190,224,64,45,,
Blue,#6D9BC3,109,155,195,208,42,60,,
Blue,#007AA5,0,122,165,196,100,32,,
Red,#E03C31,224,60,49,4,74,54,,
Brown,#A0785A,160,120,90,26,28,49,,
Yellow,#F7E7CE,247,231,206,37,72,89,,
Pink,#F1DDCF,241,221,207,25,55,88,,
Gray,#36454F,54,69,79,204,19,26,,
Gray,#232B2B,35,43,43,180,10,15,,
Pink,#E68FAC,230,143,172,340,64,73,,
Green,#DFFF00,223,255,0,68,100,50,,
Green,#7FFF00,127,255,0,90,100,50,,
Red,#DE3163,222,49,99,343,72,53,,
Pink,#FFB7C5,255,183,197,348,100,86,,
Brown,#954535,149,69,53,10,48,40,,
Pink,#DE6FA1,222,111,161,333,63,65,,
Pink,#A8516E,168,81,110,340,35,49,,
Red,#AA381E,170,56,30,11,70,39,,
Purple,#856088,133,96,136,296,17,45,,
Green,#4AFF00,74,255,0,103,100,50,,
Brown,#7B3F00,123,63,0,31,100,24,,
Brown,#D2691E,210,105,30,25,75,47,,
Yellow,#FFA700,255,167,0,39,100,50,,
Gray,#98817B,152,129,123,12,12,54,,
Red,#E34234,227,66,52,5,76,55,,
Brown,#D2691E,210,105,30,25,75,47,,
Pink,#CD607E,205,96,126,343,52,59,,
Yellow,#E4D00A,228,208,10,54,92,47,,
Yellow,#9FA91F,158,169,31,64,69,39,,
Red,#7F1734,127,23,52,343,69,29,,
Pink,#FBCCE7,251,204,231,326,85,89,,
Blue,#0047AB,0,71,171,215,100,34,,
Brown,#D2691E,210,105,30,25,75,47,,
Brown,#965A3E,150,90,62,19,42,42,,
Brown,#6F4E37,111,78,55,25,34,33,,
Blue,#C4D8E2,196,216,226,200,34,83,,
Pink,#F88379,248,131,121,5,90,72,,
